size,type,weight,dist_f_ch,dist_ch_s,time_sec,bench_free,priority
small,iron,18.987457369188043,9,11,13523,2,4
big,iron,19.562866713972195,21,21,18661,3,2
big,iron,11.846294107486319,15,7,16552,5,5
big,iron,14.178100356131532,46,16,13658,1,4
small,gold,13.35831391156622,5,21,2779,3,3
big,gold,13.00312382057855,27,27,366,0,4
small,gold,6.7180867281060275,51,10,3142,0,3
small,gold,15.062975678788716,54,24,478,5,1
small,iron,19.479053725348273,12,25,9942,0,3
big,iron,6.902043329024192,30,18,11901,7,2
small,gold,9.677817618754236,29,27,11005,5,3
big,iron,6.155748733330409,19,20,4605,8,2
big,gold,11.041743461517225,48,11,8567,3,2
big,iron,12.225081740667438,44,21,13034,4,3
big,iron,10.370271367539303,5,20,5956,5,2
small,gold,12.148732162685171,52,21,1917,4,1
small,gold,17.044502999753234,22,8,3325,4,3
small,iron,8.208853898985117,51,22,19750,1,4
big,gold,16.36957542756416,46,27,4259,1,3
small,gold,16.899319962908983,29,17,2293,2,2
small,iron,13.716996966055728,41,17,16725,3,2
big,gold,9.729817813278737,26,7,6734,7,5
small,iron,19.04751248528899,47,12,19144,4,2
big,gold,10.458553341366528,9,29,1953,0,4
small,iron,5.748817773730405,36,28,1081,1,3
small,iron,7.041317779755763,2,4,7681,0,5
small,iron,18.37385008466622,44,21,18011,5,1
small,iron,7.249647217975964,56,4,6728,3,2
small,iron,11.710912124011422,46,22,14451,0,3
small,iron,15.379573412321975,44,29,12914,5,1
small,gold,13.604670513855067,49,19,1496,1,2
small,gold,14.800575503221705,35,17,17186,3,3
small,gold,10.232219967892641,37,10,2367,4,2
big,iron,14.93354207657967,35,26,16205,0,3
big,iron,5.136283625261797,28,28,2331,5,1
small,iron,8.94875354695389,1,14,14658,10,1
big,iron,6.853997652592254,4,22,17905,5,3
small,iron,11.828944658797433,27,15,19957,1,5
small,iron,7.187346235408859,16,10,13453,2,5
small,gold,13.210566075073947,56,23,872,1,1
small,gold,7.709975618889381,60,19,676,2,2
small,gold,11.213970123556518,28,17,15791,5,2
big,iron,6.113322709893956,42,25,9324,4,3
big,gold,11.599704059937826,35,28,2606,4,2
small,gold,17.119749188601002,15,11,5353,2,3
small,gold,9.753518885785153,23,22,12162,5,4
big,gold,15.594751044573636,23,15,1884,5,1
big,gold,11.389791398625576,6,18,16224,4,5
small,gold,8.513177474519706,1,12,15694,4,5
big,gold,9.55217899552717,19,26,13228,3,4
small,iron,9.53867399801596,55,4,11014,0,3
big,iron,16.13568362017001,5,18,2291,1,4
big,iron,8.014039416432295,31,16,8013,4,3
small,iron,19.666572949993544,35,12,3677,1,3
big,gold,15.312263932701471,40,13,11376,1,4
big,gold,11.017316489677878,59,7,17740,5,2
big,iron,19.970060146931367,23,8,17672,5,2
big,gold,8.242573222027819,22,13,18214,9,2
big,iron,16.44366822039594,31,6,6860,1,2
small,gold,9.064053463751982,52,21,14929,2,4
big,gold,13.153466769692598,35,19,8933,3,3
big,iron,5.816320528637135,2,30,5871,2,4
big,iron,17.696887044535654,27,28,15252,2,3
small,gold,10.492278531565768,30,24,5009,1,3
big,iron,13.767295862911638,53,17,12983,4,2
small,iron,18.9092574755182,39,20,1441,1,1
big,gold,5.453700880762281,41,6,11977,2,5
small,gold,19.52026155253052,19,9,9358,5,2
small,gold,12.877690233530215,44,23,1487,2,4
big,iron,16.7111986089218,5,23,7892,0,4
small,iron,12.095671484087736,11,4,18236,0,5
small,iron,17.238616665004656,13,18,4901,2,2
small,gold,18.20838241422177,28,12,7843,7,2
small,iron,10.725110838098558,4,23,13004,5,3
small,iron,15.83948345933697,31,20,2542,0,1
small,iron,19.97927011909113,54,13,4141,3,1
big,iron,16.356975133916574,24,28,6254,1,3
small,iron,19.353197413168445,0,16,1778,2,1
small,iron,16.049258450515666,16,12,9444,2,3
small,gold,9.94830406192154,4,18,8647,1,5
big,iron,17.40727512287808,38,28,3544,0,1
big,gold,14.99511147079333,48,13,14541,0,4
small,gold,5.496019601768333,17,10,11297,5,4
small,gold,7.586510676673462,18,19,3679,1,5
small,gold,8.919095117902044,19,11,5334,1,5
big,gold,16.153457107578998,22,11,11757,0,4
small,gold,16.95698988944802,42,19,5841,0,2
big,gold,17.403281550657255,18,6,1748,0,3
big,iron,6.008221063038845,23,28,15432,2,2
big,gold,6.0823502220816374,54,8,5373,1,1
big,iron,9.49164826682685,46,22,12809,1,5
big,iron,15.218650966578634,56,17,16699,1,1
small,gold,17.632773633300353,21,11,1312,1,3
small,iron,18.04063500656297,56,5,2936,0,2
small,iron,8.112729721792084,18,11,5285,0,4
big,gold,16.511229217751218,18,14,13324,10,2
small,gold,14.61162399124444,58,7,138,4,2
small,iron,18.900950287541775,12,22,285,1,4
big,iron,16.59291565784664,49,22,16259,1,3
small,gold,12.929319262595019,50,17,10979,2,3
small,iron,16.74791424238124,56,9,2595,5,1
small,gold,9.62416542025308,51,18,4848,5,1
big,iron,16.79217859103804,50,24,10784,4,2
big,iron,16.71752712143699,21,23,4450,0,2
big,iron,17.82812885601294,33,13,2588,2,1
big,iron,8.635940805635897,35,7,10085,2,5
small,iron,17.735012598078473,17,16,1543,3,2
small,gold,7.535753277415578,23,11,19755,5,4
big,gold,16.57849412985293,51,24,14850,1,3
big,gold,18.948762337443178,0,15,4686,3,4
small,gold,5.536971719209459,4,22,19045,1,5
small,iron,14.39018970613496,25,11,11036,2,2
small,iron,14.893875838342447,47,9,5108,3,1
small,gold,17.22714353854523,54,15,7582,4,1
big,iron,6.5423509860430045,41,24,15457,2,5
small,iron,18.64146019218082,52,28,13898,4,1
big,gold,19.906806796388445,9,27,7580,4,2
big,iron,15.081579092395268,6,7,18593,2,5
big,gold,11.448994747549555,30,21,1404,10,2
small,gold,14.525230912410015,18,11,8446,0,4
big,iron,5.820591745455607,53,9,5419,5,1
small,iron,16.295512493334535,4,27,18174,0,5
big,iron,6.049498862290158,22,6,3827,2,5
small,gold,9.83886497708404,18,19,18338,4,5
big,iron,7.09098084291596,36,25,14864,4,3
big,iron,15.890618819848923,18,30,17430,1,3
small,gold,13.916423901474928,57,16,7562,9,1
big,gold,15.488057159826667,3,8,4959,0,5
big,gold,5.968491961357507,4,15,3612,4,4
small,gold,10.556095051582849,54,24,14030,3,3
big,iron,11.092544993247511,32,18,1994,1,3
big,gold,14.035977956534028,51,26,6768,5,1
small,iron,6.5349605107120645,28,22,8829,4,4
big,gold,14.708554688837978,56,29,3786,0,4
big,gold,10.920478616527543,28,20,9067,0,5
small,gold,18.58879945297431,45,8,9228,0,3
big,iron,11.74713709758411,60,5,3087,2,3
small,gold,6.531073604664609,46,18,9626,2,4
big,iron,6.551030317659384,15,29,11218,4,1
big,gold,8.81443359602327,48,14,12928,7,3
small,iron,8.597174441453658,23,5,5072,0,4
small,iron,16.95029305769307,41,20,6423,2,2
small,iron,15.835828245757916,39,20,18601,8,1
small,iron,6.150090795688508,10,6,1602,5,2
small,iron,17.77151074934879,17,21,5932,1,2
big,iron,6.441950671526529,10,16,5792,0,4
big,iron,16.784417201911214,4,8,4798,0,5
big,gold,6.67425644153224,30,4,16371,2,4
big,gold,10.645375160257343,12,20,17914,2,5
big,iron,16.26395933499183,42,12,17273,3,3
small,iron,8.804524862258518,14,9,3860,0,4
big,gold,6.699949123511935,1,26,1392,2,5
big,iron,16.80792899750245,9,11,17576,3,3
small,iron,15.36463357590002,33,16,4062,2,2
small,iron,18.369018992373007,7,19,15911,0,3
big,iron,14.62328794070089,54,26,1200,4,1
small,iron,6.109260799196516,45,28,12097,2,3
small,gold,14.579520005356883,7,5,9996,1,5
small,gold,17.33760607745755,52,12,17386,5,1
big,gold,6.2551781758004905,19,22,3461,4,4
small,gold,7.03539953803065,54,22,1555,0,4
small,iron,15.163508854795772,60,5,15565,1,3
small,gold,16.86995716587513,15,11,7585,0,3
small,gold,10.297266190605555,20,8,16439,3,5
small,iron,16.028924017801483,8,8,5665,2,4
small,iron,7.510523488154894,1,25,9951,2,5
small,iron,11.660079711345878,31,30,10893,3,2
big,iron,16.219610882267876,41,4,9308,5,1
small,gold,7.984792306336353,33,27,12499,0,4
big,iron,10.233445182610621,59,14,10727,0,2
small,gold,14.4359874800101,7,26,8543,4,5
big,iron,10.189928124309468,14,29,4798,5,1
small,iron,18.11237406822143,54,16,3459,5,1
small,iron,19.35089172783935,13,8,13854,5,1
small,gold,14.634342672749144,22,8,18093,2,5
small,iron,16.736003587893975,26,29,13527,4,2
big,gold,18.600447471287744,12,24,2964,5,1
big,gold,15.527890063995871,32,9,2858,5,2
small,gold,16.59971266150492,48,27,8133,0,4
small,gold,6.203288018922967,49,11,6141,0,4
big,gold,17.356440278885668,28,6,4403,2,5
big,iron,9.118469140504395,60,21,9548,3,1
big,iron,6.0620678620610615,19,18,9816,5,2
big,gold,13.84207282702281,49,4,18230,1,5
small,gold,8.401804545326979,53,18,15624,4,3
big,gold,6.197702911881284,17,23,3254,5,5
small,iron,14.143421531414917,3,13,11547,5,2
small,iron,6.478284876603595,47,28,1452,1,3
big,gold,18.308412944600875,5,14,19884,1,5
big,iron,19.53908724715373,38,13,2662,2,1
big,iron,16.072884955274617,30,22,18979,4,3
big,iron,9.314948626970548,29,20,4689,7,2
big,iron,13.438115790961014,44,29,19919,2,2
big,gold,5.470785307299482,38,13,12207,0,5
big,iron,14.320992753553849,36,7,11076,3,2
big,iron,8.957611432951254,26,22,613,4,1
small,gold,11.825364228494095,42,29,14509,5,1
small,iron,7.683021041918273,38,18,674,1,2
small,gold,19.798274976775815,35,19,10417,6,1
big,iron,8.111368383434773,44,17,17787,3,3
small,gold,11.254026625744041,7,13,15012,3,5
small,iron,8.819010947698665,0,5,2383,5,4
big,iron,13.123814137125386,2,30,3315,1,4
big,iron,18.580132508977396,37,21,6555,3,2
big,iron,7.4508269586266875,45,25,14567,9,2
big,gold,7.112193214341295,9,17,7212,1,5
big,gold,6.110977056100869,3,14,12043,1,5
big,gold,13.840269610064482,20,12,15894,0,5
small,gold,14.031154698355627,48,9,14028,4,3
small,iron,17.320855644790548,27,16,18242,0,3
small,gold,17.53941996626027,40,7,17327,4,4
big,iron,6.529136785062888,59,12,15429,0,2
big,gold,18.657880258173172,31,29,4931,4,1
small,iron,17.440746597241603,19,11,10027,3,2
big,gold,14.708706093755026,1,11,15993,5,5
small,iron,10.205901651805597,49,7,10826,3,4
big,gold,16.18379026732152,45,28,16642,2,5
big,gold,14.310105784465264,20,9,8772,1,5
small,iron,10.29569671240406,38,25,18614,3,3
small,gold,5.198835723194889,13,7,19605,1,5
small,iron,13.886914649490633,40,12,6182,1,2
small,gold,13.647365067305683,26,4,19221,5,4
big,gold,7.3186696500472745,12,21,8106,4,4
big,iron,18.5948923459843,5,23,15219,0,5
big,gold,7.389146081660856,1,27,12994,6,4
big,gold,9.306442225801614,49,6,17617,3,5
small,iron,10.579820667853516,4,26,17907,1,4
big,gold,15.24448482819248,30,14,11099,2,5
small,iron,6.224601887883595,7,6,2568,4,4
big,iron,15.535616561740188,41,21,11258,0,2
small,gold,11.217166464924714,23,13,12313,2,4
big,gold,7.7441938287152725,48,23,14895,5,3
big,iron,6.68120700781005,5,14,13893,2,5
small,gold,11.185040038439794,24,6,7018,0,5
small,iron,11.68974162540607,24,26,16555,2,3
small,gold,7.0595230005591985,27,27,13230,4,4
small,gold,12.23698738928988,17,19,14996,10,1
big,iron,12.536579046500066,15,6,8457,3,4
big,iron,19.715157766841077,58,17,6720,0,2
big,iron,15.69956454725169,43,17,18437,4,1
small,gold,5.182534162292253,27,24,13526,4,5
small,gold,12.153022996681074,50,26,7115,3,3
small,gold,5.323847476947645,4,29,7487,5,4
small,iron,12.66819461357186,35,16,12724,4,1
small,gold,10.069056560954124,41,24,9299,1,4
big,gold,18.552601805894,2,30,392,2,3
small,gold,12.399334931078673,43,12,1776,3,3
big,iron,17.748563930230688,43,23,11639,5,1
big,iron,13.758086367818347,32,29,3451,3,3
big,iron,10.947697780980155,40,13,15512,7,2
big,iron,8.44560454706267,57,7,6922,0,4
big,gold,7.74735643997566,20,6,16660,3,5
small,gold,16.918194443022816,13,10,15578,0,4
big,gold,18.24479835621837,24,26,17550,5,2
small,gold,9.861276050414128,57,18,12475,4,3
big,iron,12.419187863573187,30,27,10102,1,3
big,gold,9.312524142757132,56,21,13580,5,2
small,gold,11.829416017513282,48,21,11731,2,5
big,iron,18.042370596673287,7,5,18287,0,5
big,gold,7.069618325023715,41,12,6361,2,5
big,gold,9.372290402425358,53,17,2066,4,1
big,gold,15.42907355674179,31,19,19071,0,5
small,iron,9.659386708769901,18,23,16549,2,5
big,iron,6.217342586415054,49,4,12646,2,5
big,gold,10.616079217760403,3,21,3001,5,3
small,gold,15.14588000391478,52,15,5123,0,2
big,iron,19.76007401902008,4,28,6391,0,2
big,gold,18.382144924650373,3,30,17838,3,4
small,gold,13.428167534200409,31,7,7232,1,4
big,gold,16.65999700263245,4,9,12742,4,5
small,gold,13.570822631642315,43,26,18744,3,2
small,gold,12.408456290051685,29,22,13691,3,3
big,iron,7.559489054632396,45,5,11230,0,3
big,iron,9.382542761894753,47,6,2528,7,4
big,iron,11.781603358221215,48,10,5327,3,1
big,iron,19.7840546895568,6,23,416,0,4
small,gold,14.128435803477416,51,10,3264,1,2
big,iron,19.173180966471378,52,15,11750,0,1
big,iron,8.880243835808662,30,27,13480,0,4
big,iron,6.034568859809199,8,13,3364,4,5
big,iron,19.675626149181205,44,18,6616,2,2
small,gold,9.944364337733532,42,17,13768,4,5
big,iron,13.029591787094688,8,18,1364,2,5
big,gold,6.067144170232889,49,26,12078,4,3
big,iron,17.905873152644308,41,28,9353,3,1
small,gold,5.010201339420135,2,26,6523,3,3
small,gold,18.590178405044345,37,19,9333,4,3
big,gold,7.480562961159871,51,13,8720,4,1
big,iron,7.752174179582829,58,28,17526,4,2
big,gold,17.386991773354197,51,21,16587,4,2
big,gold,10.793456345888034,52,23,18751,2,4
big,gold,8.840267382429516,8,12,13599,4,5
small,iron,13.946615541036454,1,29,9587,5,2
big,iron,8.816172174121615,12,16,6200,8,1
small,iron,9.298211063550017,53,11,11720,3,3
big,gold,5.683255009414834,52,21,10033,0,3
small,iron,13.091169194890622,5,10,17137,4,4
small,iron,6.941286585658563,58,10,9084,0,2
small,gold,17.556820669013497,13,13,13803,0,3
small,iron,16.26530202773097,29,12,965,3,2
big,gold,9.281889120488904,37,6,8733,2,5
small,gold,13.006678660225736,7,8,7169,5,4
big,gold,13.66065337270367,23,26,12850,5,3
big,gold,14.996775426256605,17,20,2440,4,3
big,iron,11.283811436275988,21,9,2780,4,4
big,iron,14.787982572136473,20,26,3410,2,3
small,gold,7.5408449747938695,27,4,11284,7,4
big,gold,12.065280973484814,38,28,6745,1,2
small,gold,6.4100940073347,7,24,1645,5,4
small,gold,19.11604706998294,44,29,19914,4,3
big,iron,11.02114052429671,7,16,12506,4,4
big,iron,14.261622502459915,37,25,11899,1,4
big,gold,12.347245132314354,12,12,12909,3,4
small,gold,5.4022634651282715,54,16,6194,4,1
small,iron,5.94070246813353,19,29,652,0,2
big,gold,8.968343713673468,0,25,3287,1,5
big,gold,15.124025890430408,6,17,16254,3,3
big,gold,14.621520099136246,23,10,7629,3,4
small,gold,7.819174868633428,58,17,19603,4,4
big,iron,12.329198196173632,17,17,5504,4,2
big,gold,10.505918255940271,30,21,9368,5,2
big,iron,13.528164104832959,45,28,17467,1,2
big,gold,10.02029481922384,14,6,14598,2,5
small,iron,18.44297151265866,41,19,10531,0,2
big,iron,12.086278885580683,25,13,11663,1,5
small,iron,11.398667555102293,54,20,18695,1,2
big,iron,15.54989441251704,41,10,9923,4,1
big,gold,16.7103161062782,19,20,6506,2,5
small,gold,11.563290652886856,27,5,15254,1,5
big,gold,6.6344029561744176,52,25,2574,1,3
big,gold,6.276335221035456,22,13,820,3,5
small,iron,9.90311431353297,32,6,17054,4,3
small,gold,15.988734141769939,52,19,18089,5,1
small,iron,14.804581757515116,9,14,12786,0,4
small,gold,9.31603031573529,51,28,3966,5,1
big,gold,5.065900634477126,50,29,13828,2,5
big,gold,14.640088996858896,33,21,18960,8,2
small,iron,13.466005159946516,14,30,3094,0,3
big,gold,16.587337872279377,8,6,3723,3,4
small,gold,15.292487467005268,46,19,6277,5,2
big,gold,8.703504109022516,22,25,5627,0,5
small,gold,15.99349055050974,32,12,1163,4,1
big,gold,12.295716307099568,5,16,1708,0,5
big,iron,13.621651280320991,31,26,5461,5,2
small,iron,10.354897813509968,4,27,5065,4,2
small,iron,16.858840012717252,32,28,13458,5,1
small,iron,7.941314092515431,51,23,15424,5,1
small,gold,8.068090761712105,59,12,16154,1,4
big,gold,8.561391285024639,51,7,17714,2,5
small,iron,16.84328281026394,35,23,18716,4,2
small,iron,15.921558178428253,45,5,14995,1,3
small,gold,9.0438142604305,2,29,6921,1,5
big,gold,7.158269184391558,41,9,4644,0,4
big,gold,5.422845487547773,58,15,5198,5,2
small,gold,15.257367845375045,9,30,14355,1,4
small,iron,13.083096297780683,17,6,17014,4,5
small,gold,15.534715349344111,60,19,797,2,2
small,gold,15.623826492965181,28,26,7189,4,2
small,iron,17.671640555532495,44,8,9309,4,1
big,gold,11.239494934271187,50,22,8206,5,2
small,gold,17.409112403623215,58,24,11040,3,2
big,iron,11.536512380955832,5,24,4350,9,1
small,gold,15.617321166859401,21,9,1886,0,3
small,iron,13.267129245455232,14,21,1058,5,1
small,gold,18.8213705584485,49,19,69,0,3
small,gold,10.551926803642033,53,15,3850,0,3
small,gold,15.34740693622437,53,17,15308,0,1
big,iron,13.971424535829835,7,30,3684,2,5
big,gold,19.98024003195505,40,4,7722,5,2
big,gold,6.158926615689854,31,20,14841,1,5
small,gold,13.97163297315666,44,19,19995,4,2
big,iron,8.486647136380178,11,18,12787,4,4
big,iron,18.26278907150517,7,27,2428,1,2
small,iron,16.917485102020972,21,19,1310,2,2
small,iron,14.927590434790986,21,26,2981,1,1
big,gold,12.205229128786176,48,24,335,3,2
small,iron,15.219375476152948,11,25,4153,3,1
small,gold,13.315064471011665,58,20,9461,8,1
big,gold,9.309485979582698,1,4,16712,3,5
small,gold,17.2913323184707,35,5,11345,2,3
small,gold,12.688640981580658,32,18,17136,4,1
big,iron,8.856786737102963,22,11,13426,7,5
big,iron,14.965259556365936,6,10,1773,1,2
big,gold,5.279626667437493,4,17,6055,5,5
small,iron,15.801340774399769,16,16,9581,5,1
small,iron,12.055024908555406,24,8,11240,6,2
small,gold,14.514713236561322,11,16,15269,1,4
small,gold,7.358264583074361,49,27,12107,2,4
small,iron,15.773780996519378,59,7,15724,2,3
big,iron,15.849141271511318,46,24,614,1,2
small,gold,16.1238584571085,50,25,6945,1,4
small,gold,12.007997907802903,21,24,19818,0,4
small,gold,14.607595886339439,52,8,2807,0,1
small,gold,13.23882826557227,10,16,18902,4,4
small,gold,8.496197692885513,36,28,6746,0,3
small,iron,5.34534302337125,33,11,7522,2,3
big,iron,11.203652573359074,29,17,2089,2,4
small,gold,17.22375574633776,50,26,11870,0,2
small,gold,9.833561588238062,20,19,4909,4,5
big,iron,16.235027549948107,34,13,7590,5,1
small,gold,14.594982612246401,28,7,14734,3,5
small,gold,10.298960060842083,33,19,16779,7,2
small,gold,5.008633465473028,20,17,14516,1,5
big,gold,11.465092863167976,43,11,1809,5,2
big,iron,10.892753052620312,36,12,12400,4,4
big,gold,7.081139578175907,7,30,3492,2,5
big,iron,17.280914616122168,26,20,18462,4,3
small,iron,19.332239760807653,37,23,14536,5,1
small,gold,6.81864441977155,5,5,11466,3,5
big,iron,8.464117544017803,4,30,4901,1,4
big,gold,14.48745273674334,33,12,19814,1,5
small,iron,19.26293018802611,9,29,19734,1,5
big,gold,19.009989561822483,34,29,12016,1,3
big,iron,18.970163245244116,3,9,16706,9,1
big,iron,11.602174694727953,52,12,14013,2,4
big,gold,19.78854193269308,37,23,16589,5,4
big,iron,10.469949322994053,38,17,2632,1,4
big,iron,6.30049045882627,58,16,3354,2,2
big,iron,15.566587500911794,38,14,5619,3,2
small,iron,13.34276659989147,9,21,3995,1,5
